A  number of results for mpi L=3, theta and Bessel
eps_Theta sumBessel  hhVt      hhVb        hh1Vt          hh1Vb
     0.1   1   6.83368e-08    8.0166e-08  -3.32463e-09  -2.76618e-09 
    0.01   2   6.70818e-08   7.07235e-08  -3.52239e-09  -3.37849e-09 
   0.001   5   6.71214e-08   6.76933e-08  -3.52422e-09  -3.50937e-09 
  0.0001  10   6.71556e-08   6.71953e-08    -3.525e-09  -3.52419e-09 
   1e-05  20   6.71557e-08   6.71567e-08    -3.525e-09  -3.52498e-09 
   1e-06  40   6.71557e-08   6.71557e-08    -3.525e-09    -3.525e-09 
eps_Theta sumBessel  hh21Vt    hh2Vb       hh22Vt         hh22Vb
     0.1   1   -6.1412e-11   -6.2701e-11  -5.79195e-10  -6.26236e-10 
    0.01   2  -6.99694e-11  -6.90049e-11  -5.57098e-10  -5.70663e-10 
   0.001   5  -7.00353e-11  -6.99926e-11  -5.56654e-10  -5.58155e-10 
  0.0001  10  -7.00613e-11  -7.00578e-11  -5.56667e-10  -5.56744e-10 
   1e-05  20   -7.0063e-11   -7.0063e-11  -5.56667e-10  -5.56668e-10 
   1e-06  40   -7.0063e-11   -7.0063e-11  -5.56667e-10  -5.56667e-10 
eps_Theta sumBessel  hh27Vt    hh27Vb       hhdVt         hhdVb
     0.1   1   1.13951e-09   1.30241e-09  -1.86107e-07  -1.46266e-07 
    0.01   2   1.13209e-09   1.17101e-09  -2.13541e-07  -1.95285e-07 
   0.001   5   1.13125e-09   1.13599e-09   -2.1381e-07  -2.11015e-07 
  0.0001  10   1.13074e-09   1.13109e-09  -2.13814e-07  -2.13606e-07 
   1e-05  20   1.13075e-09   1.13075e-09  -2.13814e-07  -2.13808e-07 
   1e-06  40   1.13075e-09   1.13075e-09  -2.13814e-07  -2.13814e-07 
eps_Theta sumBessel  hh27Vt    hh27Vb       hhdVt         hhdVb
     0.1   1   1.13951e-09   1.30241e-09  -1.86107e-07  -1.46266e-07 
    0.01   2   1.13209e-09   1.17101e-09  -2.13541e-07  -1.95285e-07 
   0.001   5   1.13125e-09   1.13599e-09   -2.1381e-07  -2.11015e-07 
  0.0001  10   1.13074e-09   1.13109e-09  -2.13814e-07  -2.13606e-07 
   1e-05  20   1.13075e-09   1.13075e-09  -2.13814e-07  -2.13808e-07 
   1e-06  40   1.13075e-09   1.13075e-09  -2.13814e-07  -2.13814e-07 
eps_Theta sumBessel  hh1dVt    hh1dVb       hh21dVt       hhd21Vb
     0.1   1   1.13951e-09   1.30241e-09  -1.86107e-07  -1.46266e-07 
    0.01   2   1.13209e-09   1.17101e-09  -2.13541e-07  -1.95285e-07 
   0.001   5   1.13125e-09   1.13599e-09   -2.1381e-07  -2.11015e-07 
  0.0001  10   1.13074e-09   1.13109e-09  -2.13814e-07  -2.13606e-07 
   1e-05  20   1.13075e-09   1.13075e-09  -2.13814e-07  -2.13808e-07 
   1e-06  40   1.13075e-09   1.13075e-09  -2.13814e-07  -2.13814e-07 
eps_Theta sumBessel  hh1dVt    hh1dVb       hh21dVt       hhd21Vb
     0.1   1  -2.75394e-09   -2.0978e-09  -1.46984e-10   -1.3446e-10 
    0.01   2  -2.68419e-09  -2.57559e-09    -1.485e-10  -1.46071e-10 
   0.001   5  -2.68541e-09  -2.67409e-09  -1.48564e-10  -1.48343e-10 
  0.0001  10  -2.68586e-09  -2.68529e-09  -1.48566e-10  -1.48563e-10 
   1e-05  20   -2.6859e-09  -2.68589e-09  -1.48566e-10  -1.48566e-10 
   1e-06  40   -2.6859e-09   -2.6859e-09  -1.48566e-10  -1.48566e-10 
eps_Theta sumBessel  hh22dVt   hh22dVb      hh27dVt       hhd27Vb
     0.1   1   1.63011e-09   1.35108e-09  -3.39694e-09  -2.67907e-09 
    0.01   2   1.72777e-09    1.6548e-09  -3.46398e-09  -3.35768e-09 
   0.001   5   1.72713e-09    1.7197e-09  -3.56663e-09  -3.53969e-09 
  0.0001  10   1.72746e-09   1.72705e-09  -3.56702e-09   -3.5652e-09 
   1e-05  20   1.72747e-09   1.72746e-09  -3.56701e-09  -3.56697e-09 
   1e-06  40   1.72747e-09   1.72747e-09  -3.56701e-09  -3.56701e-09 
